SERIE	TITULO	DATA_VENCIMENTO	DATA_REF	DATA_CAPTURA	FINANCEIRO (R$ BI)	QUANTIDADE (MIL)	COD_REF
BRSTNCLTN7X1	'LTN'	2023-04-01	2023-07-01	2023-03-01	26.224301029855997	26237.273	'BRSTNCLTN7X1'
BRSTNCLTN7Q5	'LTN'	2023-07-01	2023-07-01	2023-03-01	194.66974889648301	198321.204	'BRSTNCLTN7Q5'
BRSTNCLTN814	'LTN'	2023-10-01	2023-07-01	2023-03-01	14.567536409521	15519.686	'BRSTNCLTN814'
BRSTNCLTN7S1	'LTN'	2024-01-01	2023-07-01	2023-03-01	269.654879636561	280908.663	'BRSTNCLTN7S1'
BRSTNCLTN7Y9	'LTN'	2024-04-01	2023-07-01	2023-03-01	72.1739232046111	81120.677	'BRSTNCLTN7Y9'
BRSTNCLTN7W3	'LTN'	2024-07-01	2023-07-01	2023-03-01	84.50822573808861	92707.11344	'BRSTNCLTN7W3'
BRSTNCLTN822	'LTN'	2024-10-01	2023-07-01	2023-03-01	32.8368643966946	39179.516	'BRSTNCLTN822'
BRSTNCLTN7N2	'LTN'	2025-01-01	2023-07-01	2023-03-01	72.66194333453583	85758.58231999999	'BRSTNCLTN7N2'
BRSTNCLTN830	'LTN'	2025-04-01	2023-07-01	2023-03-01	37.4069755724364	47370.115	'BRSTNCLTN830'
BRSTNCLTN7Z6	'LTN'	2025-07-01	2023-07-01	2023-03-01	88.74885253761369	114409.794	'BRSTNCLTN7Z6'
BRSTNCLTN7U7	'LTN'	2026-01-01	2023-07-01	2023-03-01	129.91858759872167	177242.95381	'BRSTNCLTN7U7'
BRSTNCLTN848	'LTN'	2026-07-01	2023-07-01	2023-03-01	54.660963088505895	80700.55	'BRSTNCLTN848'
BRSTNCLTN806	'LTN'	2029-01-01	2023-07-01	2023-03-01	1.77586062810443	3547.77547	'BRSTNCLTN806'
BRSTNCNTF170	'NTN-F'	2025-01-01	2023-07-01	2023-03-01	105.9761564994162	104937.63673	'BRSTNCNTF170'
BRSTNCNTF1P8	'NTN-F'	2027-01-01	2023-07-01	2023-03-01	111.85467893079827	110282.08137999999	'BRSTNCNTF1P8'
BRSTNCNTF1Q6	'NTN-F'	2029-01-01	2023-07-01	2023-03-01	87.05929549102878	81954.69769	'BRSTNCNTF1Q6'
BRSTNCNTF204	'NTN-F'	2031-01-01	2023-07-01	2023-03-01	42.97469418344994	38907.00189	'BRSTNCNTF204'
BRSTNCNTF212	'NTN-F'	2033-01-01	2023-07-01	2023-03-01	19.36129001309281	21563.363960000002	'BRSTNCNTF212'
BRSTNCLF1R90	'LFT'	2023-09-01	2023-07-01	2023-03-01	301.643905511384	23153.056	'BRSTNCLF1R90'
BRSTNCLF1RA8	'LFT'	2024-03-01	2023-07-01	2023-03-01	152.02450919388698	11666.054	'BRSTNCLF1RA8'
BRSTNCLF0008	'LFT'	2024-09-01	2023-07-01	2023-03-01	206.0347379818528	15814.72735	'BRSTNCLF0008'
BRSTNCLF1RC4	'LFT'	2025-03-01	2023-07-01	2023-03-01	152.4740011943593	11706.75541	'BRSTNCLF1RC4'
BRSTNCLF1RD2	'LFT'	2025-09-01	2023-07-01	2023-03-01	188.16890872716002	14445.717	'BRSTNCLF1RD2'
BRSTNCLF1RE0	'LFT'	2026-03-01	2023-07-01	2023-03-01	221.80218145955396	17036.01259	'BRSTNCLF1RE0'
BRSTNCLF1RF7	'LFT'	2026-09-01	2023-07-01	2023-03-01	51.7727922774	3978.106	'BRSTNCLF1RF7'
BRSTNCLF1RG5	'LFT'	2027-03-01	2023-07-01	2023-03-01	226.09711353046657	17570.89228	'BRSTNCLF1RG5'
BRSTNCLF1RH3	'LFT'	2027-09-01	2023-07-01	2023-03-01	265.52124129227803	20644.379	'BRSTNCLF1RH3'
BRSTNCLF1RI1	'LFT'	2028-03-01	2023-07-01	2023-03-01	171.774589990278	13331.895	'BRSTNCLF1RI1'
BRSTNCLF1RK7	'LFT'	2028-09-01	2023-07-01	2023-03-01	180.81230279714998	14006.48	'BRSTNCLF1RK7'
BRSTNCLF1RL5	'LFT'	2029-03-01	2023-07-01	2023-03-01	176.17991578757486	13658.87478	'BRSTNCLF1RL5'
BRSTNCNTB4O9	'NTN-B'	2023-05-15	2023-07-01	2023-03-01	191.44910018307002	45767.11	'BRSTNCNTB4O9'
BRSTNCNTB096	'NTN-B'	2024-08-15	2023-07-01	2023-03-01	216.62351749139037	51758.845479999996	'BRSTNCNTB096'
BRSTNCNTB633	'NTN-B'	2025-05-15	2023-07-01	2023-03-01	146.67168034930899	33523.057	'BRSTNCNTB633'
BRSTNCNTB4U6	'NTN-B'	2026-08-15	2023-07-01	2023-03-01	165.44750042773867	38683.84102	'BRSTNCNTB4U6'
BRSTNCNTB682	'NTN-B'	2027-05-15	2023-07-01	2023-03-01	86.6272697922598	20553.08	'BRSTNCNTB682'
BRSTNCNTB4X0	'NTN-B'	2028-08-15	2023-07-01	2023-03-01	114.50351580464799	25905.794	'BRSTNCNTB4X0'
BRSTNCNTB3B8	'NTN-B'	2030-08-15	2023-07-01	2023-03-01	124.64483984598769	28049.386140000002	'BRSTNCNTB3B8'
BRSTNCNTB674	'NTN-B'	2032-08-15	2023-07-01	2023-03-01	37.96883658781385	9113.5425	'BRSTNCNTB674'
BRSTNCNTB6B1	'NTN-B'	2033-05-15	2023-07-01	2023-03-01	4.75721780475729	1164.044	'BRSTNCNTB6B1'
BRSTNCNTB0O7	'NTN-B'	2035-05-15	2023-07-01	2023-03-01	131.74640841434078	31992.08904	'BRSTNCNTB0O7'
